#separator:tab
#html:false
ID cell type:	Eosinophil
Hereditary spherocytosis:    Intrinsic or extrinsic hemolysis? intrinsic Intra- or extravascular hemolysis? extravascular (clearance in splenic cords with a 10-20 day RBC lifetime)   Inheritance:  75% - autosomal dominant 25% - autosomal recessive (more severe and younger presentation because both alleles are affected)   3 main genetic mutations - ankyrin, spectrin and/or band3 (cytoskeletal proteins --> render RBC less deformable)   Lab values:   Hgb - [...] Hct - [...] RBC count - [...] Reticulocyte count - [...] MCV - [...] MCH - [...] MCHC - [...] Blood Film - [...]	Hereditary spherocytosis:    Intrinsic or extrinsic hemolysis? intrinsic Intra- or extravascular hemolysis? extravascular (clearance in splenic cords with a 10-20 day RBC lifetime)   Inheritance:  75% - autosomal dominant 25% - autosomal recessive (more severe and younger presentation because both alleles are affected)   3 main genetic mutations - ankyrin, spectrin and/or band3 (cytoskeletal proteins --> render RBC less deformable)   Lab values:   Hgb - decreased Hct - decreased RBC count - decreased (shorter half-life due to splenic macrophages) Reticulocyte count - increased (>3%) --> hyperplasia in marrow MCV - normal (bimorphic average between macrocytic and microcytic RBCs)) MCH - normal MCHC - increased (smaller cells but same Hgb content) Blood Film - Howell-Jolly Bodies (DNA remnants in patients with autosplenectomies), do not confuse with heinz bodies
[...]:    Intrinsic or extrinsic hemolysis? intrinsic Intra- or extravascular hemolysis? extravascular (clearance in splenic cords with a 10-20 day RBC lifetime)   Inheritance:  75% - autosomal dominant 25% - autosomal recessive (more severe and younger presentation because both alleles are affected)   3 main genetic mutations - ankyrin, spectrin and/or band3 (cytoskeletal proteins --> render RBC less deformable)   Lab values:   Hgb - decreased Hct - decreased RBC count - decreased (shorter half-life due to splenic macrophages) Reticulocyte count - increased (>3%) --> hyperplasia in marrow MCV - normal (bimorphic average between macrocytic and microcytic RBCs)) MCH - normal MCHC - increased (smaller cells but same Hgb content) Blood Film - Howell-Jolly Bodies (DNA remnants in patients with autosplenectomies), do not confuse with heinz bodies	Hereditary spherocytosis:    Intrinsic or extrinsic hemolysis? intrinsic Intra- or extravascular hemolysis? extravascular (clearance in splenic cords with a 10-20 day RBC lifetime)   Inheritance:  75% - autosomal dominant 25% - autosomal recessive (more severe and younger presentation because both alleles are affected)   3 main genetic mutations - ankyrin, spectrin and/or band3 (cytoskeletal proteins --> render RBC less deformable)   Lab values:   Hgb - decreased Hct - decreased RBC count - decreased (shorter half-life due to splenic macrophages) Reticulocyte count - increased (>3%) --> hyperplasia in marrow MCV - normal (bimorphic average between macrocytic and microcytic RBCs)) MCH - normal MCHC - increased (smaller cells but same Hgb content) Blood Film - Howell-Jolly Bodies (DNA remnants in patients with autosplenectomies), do not confuse with heinz bodies
Hereditary spherocytosis:    Intrinsic or extrinsic hemolysis? intrinsic Intra- or extravascular hemolysis? extravascular (clearance in splenic cords with a 10-20 day RBC lifetime)   Inheritance:  75% - autosomal dominant 25% - autosomal recessive (more severe and younger presentation because both alleles are affected)   3 main genetic mutations - [...], [...] and/or [...]   Lab values:   Hgb - decreased Hct - decreased RBC count - decreased (shorter half-life due to splenic macrophages) Reticulocyte count - increased (>3%) --> hyperplasia in marrow MCV - normal (bimorphic average between macrocytic and microcytic RBCs)) MCH - normal MCHC - increased (smaller cells but same Hgb content) Blood Film - Howell-Jolly Bodies (DNA remnants in patients with autosplenectomies), do not confuse with heinz bodies	Hereditary spherocytosis:    Intrinsic or extrinsic hemolysis? intrinsic Intra- or extravascular hemolysis? extravascular (clearance in splenic cords with a 10-20 day RBC lifetime)   Inheritance:  75% - autosomal dominant 25% - autosomal recessive (more severe and younger presentation because both alleles are affected)   3 main genetic mutations - ankyrin, spectrin and/or band3 (cytoskeletal proteins --> render RBC less deformable)   Lab values:   Hgb - decreased Hct - decreased RBC count - decreased (shorter half-life due to splenic macrophages) Reticulocyte count - increased (>3%) --> hyperplasia in marrow MCV - normal (bimorphic average between macrocytic and microcytic RBCs)) MCH - normal MCHC - increased (smaller cells but same Hgb content) Blood Film - Howell-Jolly Bodies (DNA remnants in patients with autosplenectomies), do not confuse with heinz bodies
Hereditary spherocytosis:    Intrinsic or extrinsic hemolysis? intrinsic Intra- or extravascular hemolysis? extravascular (clearance in splenic cords with a 10-20 day RBC lifetime)   Inheritance:  75% - [...] 25% - [...]   3 main genetic mutations - ankyrin, spectrin and/or band3 (cytoskeletal proteins --> render RBC less deformable)   Lab values:   Hgb - decreased Hct - decreased RBC count - decreased (shorter half-life due to splenic macrophages) Reticulocyte count - increased (>3%) --> hyperplasia in marrow MCV - normal (bimorphic average between macrocytic and microcytic RBCs)) MCH - normal MCHC - increased (smaller cells but same Hgb content) Blood Film - Howell-Jolly Bodies (DNA remnants in patients with autosplenectomies), do not confuse with heinz bodies	Hereditary spherocytosis:    Intrinsic or extrinsic hemolysis? intrinsic Intra- or extravascular hemolysis? extravascular (clearance in splenic cords with a 10-20 day RBC lifetime)   Inheritance:  75% - autosomal dominant 25% - autosomal recessive (more severe and younger presentation because both alleles are affected)   3 main genetic mutations - ankyrin, spectrin and/or band3 (cytoskeletal proteins --> render RBC less deformable)   Lab values:   Hgb - decreased Hct - decreased RBC count - decreased (shorter half-life due to splenic macrophages) Reticulocyte count - increased (>3%) --> hyperplasia in marrow MCV - normal (bimorphic average between macrocytic and microcytic RBCs)) MCH - normal MCHC - increased (smaller cells but same Hgb content) Blood Film - Howell-Jolly Bodies (DNA remnants in patients with autosplenectomies), do not confuse with heinz bodies
Hereditary spherocytosis:    Intrinsic or extrinsic hemolysis? [...] Intra- or extravascular hemolysis? [...]   Inheritance:  75% - autosomal dominant 25% - autosomal recessive (more severe and younger presentation because both alleles are affected)   3 main genetic mutations - ankyrin, spectrin and/or band3 (cytoskeletal proteins --> render RBC less deformable)   Lab values:   Hgb - decreased Hct - decreased RBC count - decreased (shorter half-life due to splenic macrophages) Reticulocyte count - increased (>3%) --> hyperplasia in marrow MCV - normal (bimorphic average between macrocytic and microcytic RBCs)) MCH - normal MCHC - increased (smaller cells but same Hgb content) Blood Film - Howell-Jolly Bodies (DNA remnants in patients with autosplenectomies), do not confuse with heinz bodies	Hereditary spherocytosis:    Intrinsic or extrinsic hemolysis? intrinsic Intra- or extravascular hemolysis? extravascular (clearance in splenic cords with a 10-20 day RBC lifetime)   Inheritance:  75% - autosomal dominant 25% - autosomal recessive (more severe and younger presentation because both alleles are affected)   3 main genetic mutations - ankyrin, spectrin and/or band3 (cytoskeletal proteins --> render RBC less deformable)   Lab values:   Hgb - decreased Hct - decreased RBC count - decreased (shorter half-life due to splenic macrophages) Reticulocyte count - increased (>3%) --> hyperplasia in marrow MCV - normal (bimorphic average between macrocytic and microcytic RBCs)) MCH - normal MCHC - increased (smaller cells but same Hgb content) Blood Film - Howell-Jolly Bodies (DNA remnants in patients with autosplenectomies), do not confuse with heinz bodies
ID the pathology:	
[...] are intracellular inclusions seen in RBCs and are described as basophilic nuclear remnants that have not been removed by splenic macrophages (e.g. in hypo/asplenia and hereditary spherocytosis when splenic macrophages are overworked)	Howell-Jolly Bodies are intracellular inclusions seen in RBCs and are described as basophilic nuclear remnants that have not been removed by splenic macrophages (e.g. in hypo/asplenia and hereditary spherocytosis when splenic macrophages are overworked)
[...] patients - RBCs susceptible to hypoxic stress.    [...] patients - RBCs susceptible to oxidative/metabolic stress	Sickle cell patients - RBCs susceptible to hypoxic stress.    G6PD deficiency patients - RBCs susceptible to oxidative/metabolic stress
"Glucose-6-phosphate dehydrogenase (G6PD) deficiency:    Inheritance - [...]   Pathogenesis - shortened G6PD half-life --> pentose phosphate pathway rate decreases with time because RBCs can't synthesize new proteins --> decreased intracellular NADPH --> decreased reduction of glutathione --> RBCs susceptibility to oxidative stress increases with time (especially to hydrogen peroxide) --> oxidation of globin sulfhydryl groups --> precipitation into Heinz bodies --> macrophages take a bite --> ""bite cells""   Triggers (oxidants):  Drugs - chloroquine, sulfonamides, nitrofurantoins stressors Food - fava beans Infections - reactive O2 species generated by leukocytes   Presentation - acute intravascular hemolysis of ""old RBCs"" 2-3 hours/days post-oxidant stress --> hemoglobineamia, hemoglobinuria and decreased haptoglobin (EPISODIC, so no splenomegaly or gallstones)   Labs:  Size - normocytic Poikilocytes - bite cells (macrophages eating Heinz bodies) RBC inclusion - Heinz bodies (denatured/oxidized hemoglobin)   Diagnosis:  During hemolysis (screening) - supravital stain for Heinz bodies  After hemolysis (confirmatory) - RBC enzyme analysis"	"Glucose-6-phosphate dehydrogenase (G6PD) deficiency:    Inheritance - X-linked recessive (in females, only 50% of RBCs are affected)   Pathogenesis - shortened G6PD half-life --> pentose phosphate pathway rate decreases with time because RBCs can't synthesize new proteins --> decreased intracellular NADPH --> decreased reduction of glutathione --> RBCs susceptibility to oxidative stress increases with time (especially to hydrogen peroxide) --> oxidation of globin sulfhydryl groups --> precipitation into Heinz bodies --> macrophages take a bite --> ""bite cells""   Triggers (oxidants):  Drugs - chloroquine, sulfonamides, nitrofurantoins stressors Food - fava beans Infections - reactive O2 species generated by leukocytes   Presentation - acute intravascular hemolysis of ""old RBCs"" 2-3 hours/days post-oxidant stress --> hemoglobineamia, hemoglobinuria and decreased haptoglobin (EPISODIC, so no splenomegaly or gallstones)   Labs:  Size - normocytic Poikilocytes - bite cells (macrophages eating Heinz bodies) RBC inclusion - Heinz bodies (denatured/oxidized hemoglobin)   Diagnosis:  During hemolysis (screening) - supravital stain for Heinz bodies  After hemolysis (confirmatory) - RBC enzyme analysis"
"Glucose-6-phosphate dehydrogenase (G6PD) deficiency:    Inheritance - X-linked recessive (in females, only 50% of RBCs are affected)   Pathogenesis - [...]   Triggers (oxidants):  Drugs - chloroquine, sulfonamides, nitrofurantoins stressors Food - fava beans Infections - reactive O2 species generated by leukocytes   Presentation - acute intravascular hemolysis of ""old RBCs"" 2-3 hours/days post-oxidant stress --> hemoglobineamia, hemoglobinuria and decreased haptoglobin (EPISODIC, so no splenomegaly or gallstones)   Labs:  Size - normocytic Poikilocytes - bite cells (macrophages eating Heinz bodies) RBC inclusion - Heinz bodies (denatured/oxidized hemoglobin)   Diagnosis:  During hemolysis (screening) - supravital stain for Heinz bodies  After hemolysis (confirmatory) - RBC enzyme analysis"	"Glucose-6-phosphate dehydrogenase (G6PD) deficiency:    Inheritance - X-linked recessive (in females, only 50% of RBCs are affected)   Pathogenesis - shortened G6PD half-life --> pentose phosphate pathway rate decreases with time because RBCs can't synthesize new proteins --> decreased intracellular NADPH --> decreased reduction of glutathione --> RBCs susceptibility to oxidative stress increases with time (especially to hydrogen peroxide) --> oxidation of globin sulfhydryl groups --> precipitation into Heinz bodies --> macrophages take a bite --> ""bite cells""   Triggers (oxidants):  Drugs - chloroquine, sulfonamides, nitrofurantoins stressors Food - fava beans Infections - reactive O2 species generated by leukocytes   Presentation - acute intravascular hemolysis of ""old RBCs"" 2-3 hours/days post-oxidant stress --> hemoglobineamia, hemoglobinuria and decreased haptoglobin (EPISODIC, so no splenomegaly or gallstones)   Labs:  Size - normocytic Poikilocytes - bite cells (macrophages eating Heinz bodies) RBC inclusion - Heinz bodies (denatured/oxidized hemoglobin)   Diagnosis:  During hemolysis (screening) - supravital stain for Heinz bodies  After hemolysis (confirmatory) - RBC enzyme analysis"
"Glucose-6-phosphate dehydrogenase (G6PD) deficiency:    Inheritance - X-linked recessive (in females, only 50% of RBCs are affected)   Pathogenesis - shortened G6PD half-life --> pentose phosphate pathway rate decreases with time because RBCs can't synthesize new proteins --> decreased intracellular NADPH --> decreased reduction of glutathione --> RBCs susceptibility to oxidative stress increases with time (especially to hydrogen peroxide) --> oxidation of globin sulfhydryl groups --> precipitation into Heinz bodies --> macrophages take a bite --> ""bite cells""   Triggers (oxidants):  Drugs - [...] Food - [...] Infections - reactive O2 species generated by [...]   Presentation - acute intravascular hemolysis of ""old RBCs"" 2-3 hours/days post-oxidant stress --> hemoglobineamia, hemoglobinuria and decreased haptoglobin (EPISODIC, so no splenomegaly or gallstones)   Labs:  Size - normocytic Poikilocytes - bite cells (macrophages eating Heinz bodies) RBC inclusion - Heinz bodies (denatured/oxidized hemoglobin)   Diagnosis:  During hemolysis (screening) - supravital stain for Heinz bodies  After hemolysis (confirmatory) - RBC enzyme analysis"	"Glucose-6-phosphate dehydrogenase (G6PD) deficiency:    Inheritance - X-linked recessive (in females, only 50% of RBCs are affected)   Pathogenesis - shortened G6PD half-life --> pentose phosphate pathway rate decreases with time because RBCs can't synthesize new proteins --> decreased intracellular NADPH --> decreased reduction of glutathione --> RBCs susceptibility to oxidative stress increases with time (especially to hydrogen peroxide) --> oxidation of globin sulfhydryl groups --> precipitation into Heinz bodies --> macrophages take a bite --> ""bite cells""   Triggers (oxidants):  Drugs - chloroquine, sulfonamides, nitrofurantoins stressors Food - fava beans Infections - reactive O2 species generated by leukocytes   Presentation - acute intravascular hemolysis of ""old RBCs"" 2-3 hours/days post-oxidant stress --> hemoglobineamia, hemoglobinuria and decreased haptoglobin (EPISODIC, so no splenomegaly or gallstones)   Labs:  Size - normocytic Poikilocytes - bite cells (macrophages eating Heinz bodies) RBC inclusion - Heinz bodies (denatured/oxidized hemoglobin)   Diagnosis:  During hemolysis (screening) - supravital stain for Heinz bodies  After hemolysis (confirmatory) - RBC enzyme analysis"
"Glucose-6-phosphate dehydrogenase (G6PD) deficiency:    Inheritance - X-linked recessive (in females, only 50% of RBCs are affected)   Pathogenesis - shortened G6PD half-life --> pentose phosphate pathway rate decreases with time because RBCs can't synthesize new proteins --> decreased intracellular NADPH --> decreased reduction of glutathione --> RBCs susceptibility to oxidative stress increases with time (especially to hydrogen peroxide) --> oxidation of globin sulfhydryl groups --> precipitation into Heinz bodies --> macrophages take a bite --> ""bite cells""   Triggers (oxidants):  Drugs - chloroquine, sulfonamides, nitrofurantoins stressors Food - fava beans Infections - reactive O2 species generated by leukocytes   Presentation - [...]   Labs:  Size - normocytic Poikilocytes - bite cells (macrophages eating Heinz bodies) RBC inclusion - Heinz bodies (denatured/oxidized hemoglobin)   Diagnosis:  During hemolysis (screening) - supravital stain for Heinz bodies  After hemolysis (confirmatory) - RBC enzyme analysis"	"Glucose-6-phosphate dehydrogenase (G6PD) deficiency:    Inheritance - X-linked recessive (in females, only 50% of RBCs are affected)   Pathogenesis - shortened G6PD half-life --> pentose phosphate pathway rate decreases with time because RBCs can't synthesize new proteins --> decreased intracellular NADPH --> decreased reduction of glutathione --> RBCs susceptibility to oxidative stress increases with time (especially to hydrogen peroxide) --> oxidation of globin sulfhydryl groups --> precipitation into Heinz bodies --> macrophages take a bite --> ""bite cells""   Triggers (oxidants):  Drugs - chloroquine, sulfonamides, nitrofurantoins stressors Food - fava beans Infections - reactive O2 species generated by leukocytes   Presentation - acute intravascular hemolysis of ""old RBCs"" 2-3 hours/days post-oxidant stress --> hemoglobineamia, hemoglobinuria and decreased haptoglobin (EPISODIC, so no splenomegaly or gallstones)   Labs:  Size - normocytic Poikilocytes - bite cells (macrophages eating Heinz bodies) RBC inclusion - Heinz bodies (denatured/oxidized hemoglobin)   Diagnosis:  During hemolysis (screening) - supravital stain for Heinz bodies  After hemolysis (confirmatory) - RBC enzyme analysis"
"Glucose-6-phosphate dehydrogenase (G6PD) deficiency:    Inheritance - X-linked recessive (in females, only 50% of RBCs are affected)   Pathogenesis - shortened G6PD half-life --> pentose phosphate pathway rate decreases with time because RBCs can't synthesize new proteins --> decreased intracellular NADPH --> decreased reduction of glutathione --> RBCs susceptibility to oxidative stress increases with time (especially to hydrogen peroxide) --> oxidation of globin sulfhydryl groups --> precipitation into Heinz bodies --> macrophages take a bite --> ""bite cells""   Triggers (oxidants):  Drugs - chloroquine, sulfonamides, nitrofurantoins stressors Food - fava beans Infections - reactive O2 species generated by leukocytes   Presentation - acute intravascular hemolysis of ""old RBCs"" 2-3 hours/days post-oxidant stress --> hemoglobineamia, hemoglobinuria and decreased haptoglobin (EPISODIC, so no splenomegaly or gallstones)   Labs:  Size - [...] Poikilocytes - [...] RBC inclusion - [...]   Diagnosis:  During hemolysis (screening) - supravital stain for Heinz bodies  After hemolysis (confirmatory) - RBC enzyme analysis"	"Glucose-6-phosphate dehydrogenase (G6PD) deficiency:    Inheritance - X-linked recessive (in females, only 50% of RBCs are affected)   Pathogenesis - shortened G6PD half-life --> pentose phosphate pathway rate decreases with time because RBCs can't synthesize new proteins --> decreased intracellular NADPH --> decreased reduction of glutathione --> RBCs susceptibility to oxidative stress increases with time (especially to hydrogen peroxide) --> oxidation of globin sulfhydryl groups --> precipitation into Heinz bodies --> macrophages take a bite --> ""bite cells""   Triggers (oxidants):  Drugs - chloroquine, sulfonamides, nitrofurantoins stressors Food - fava beans Infections - reactive O2 species generated by leukocytes   Presentation - acute intravascular hemolysis of ""old RBCs"" 2-3 hours/days post-oxidant stress --> hemoglobineamia, hemoglobinuria and decreased haptoglobin (EPISODIC, so no splenomegaly or gallstones)   Labs:  Size - normocytic Poikilocytes - bite cells (macrophages eating Heinz bodies) RBC inclusion - Heinz bodies (denatured/oxidized hemoglobin)   Diagnosis:  During hemolysis (screening) - supravital stain for Heinz bodies  After hemolysis (confirmatory) - RBC enzyme analysis"
"Glucose-6-phosphate dehydrogenase (G6PD) deficiency:    Inheritance - X-linked recessive (in females, only 50% of RBCs are affected)   Pathogenesis - shortened G6PD half-life --> pentose phosphate pathway rate decreases with time because RBCs can't synthesize new proteins --> decreased intracellular NADPH --> decreased reduction of glutathione --> RBCs susceptibility to oxidative stress increases with time (especially to hydrogen peroxide) --> oxidation of globin sulfhydryl groups --> precipitation into Heinz bodies --> macrophages take a bite --> ""bite cells""   Triggers (oxidants):  Drugs - chloroquine, sulfonamides, nitrofurantoins stressors Food - fava beans Infections - reactive O2 species generated by leukocytes   Presentation - acute intravascular hemolysis of ""old RBCs"" 2-3 hours/days post-oxidant stress --> hemoglobineamia, hemoglobinuria and decreased haptoglobin (EPISODIC, so no splenomegaly or gallstones)   Labs:  Size - normocytic Poikilocytes - bite cells (macrophages eating Heinz bodies) RBC inclusion - Heinz bodies (denatured/oxidized hemoglobin)   Diagnosis:  During hemolysis (screening) - [...]  After hemolysis (confirmatory) - [...]"	"Glucose-6-phosphate dehydrogenase (G6PD) deficiency:    Inheritance - X-linked recessive (in females, only 50% of RBCs are affected)   Pathogenesis - shortened G6PD half-life --> pentose phosphate pathway rate decreases with time because RBCs can't synthesize new proteins --> decreased intracellular NADPH --> decreased reduction of glutathione --> RBCs susceptibility to oxidative stress increases with time (especially to hydrogen peroxide) --> oxidation of globin sulfhydryl groups --> precipitation into Heinz bodies --> macrophages take a bite --> ""bite cells""   Triggers (oxidants):  Drugs - chloroquine, sulfonamides, nitrofurantoins stressors Food - fava beans Infections - reactive O2 species generated by leukocytes   Presentation - acute intravascular hemolysis of ""old RBCs"" 2-3 hours/days post-oxidant stress --> hemoglobineamia, hemoglobinuria and decreased haptoglobin (EPISODIC, so no splenomegaly or gallstones)   Labs:  Size - normocytic Poikilocytes - bite cells (macrophages eating Heinz bodies) RBC inclusion - Heinz bodies (denatured/oxidized hemoglobin)   Diagnosis:  During hemolysis (screening) - supravital stain for Heinz bodies  After hemolysis (confirmatory) - RBC enzyme analysis"
ID the abnormalities + associated disease:	G6PD deficiency
[...] is a tapeworm that commonly causes Vitamin B12 deficiency through consumption of Vitamin B12 and damage to the terminal ileum.	Diphyllobothrium latum (fish tapeworm) is a tapeworm that commonly causes Vitamin B12 deficiency through consumption of Vitamin B12 and damage to the terminal ileum.
[...] is a complication of Sickle Cell Disease that leads to an increase risk of infection with encapsulated organisms and the formation of Howell-Jolly Bodies in RBCs.	Autosplenectomy is a complication of Sickle Cell Disease that leads to an increase risk of infection with encapsulated organisms and the formation of Howell-Jolly Bodies in RBCs.
ID the pathology:	Sickle cell disease    Note the sickled cells & target cells (due to the hemolysis and autosplenectomy)
[...] thalassemias most often involve gene deletions and are present at birth, whereas [...] thalassemias mostly involve defects in transcription, processing or translation of mRNA and are present at 6-9 months of life (once fetal hemoglobin replaced by adult form)	Alpha thalassemias most often involve gene deletions and are present at birth, whereas beta thalassemias mostly involve defects in transcription, processing or translation of mRNA and are present at 6-9 months of life (once fetal hemoglobin replaced by adult form)  β thalassemia is caused by mutations that nearly all affect the β globin locus and are extremely heterogeneous. Almost every possible defect affecting gene expression at transcription or post-transcriptional level, including translation, have been identified in β thalassemia. These genetic defects lead to a variable reduction in β globin output ranging from a minimal deficit (mild β+ thalassemia alleles) to complete absence (β° thalassemia).
β-Thalassemia Major:    Blood smear:  [...]chromia, [...]cytosis, and [...]cytosis Abnormal cells - target cells Visualization of ribosomes - basophilic stippling Reticulocytes - increased (but less than expected)  HbF - increased, 10-98% in major, variable in minor  HbA2 - increased  HbA - absent in major, decreased to 80-90% in minor (composed of 2x alpha and 2x beta chains)   Splenomegaly? YES (may be as large as liver) Radiology - frontal bossing / crew cut appearance (as in sickle cell disease, due to erythroid hyperplasia)	β-Thalassemia Major:    Blood smear:  Hypochromia, microcytosis, and anisopoikilocytosis Abnormal cells - target cells Visualization of ribosomes - basophilic stippling Reticulocytes - increased (but less than expected)  HbF - increased, 10-98% in major, variable in minor  HbA2 - increased  HbA - absent in major, decreased to 80-90% in minor (composed of 2x alpha and 2x beta chains)   Splenomegaly? YES (may be as large as liver) Radiology - frontal bossing / crew cut appearance (as in sickle cell disease, due to erythroid hyperplasia)
β-Thalassemia Major:    Blood smear:  Hypochromia, microcytosis, and anisopoikilocytosis Abnormal cells - [...] cells Visualization of ribosomes - [...] Reticulocytes - increased (but less than expected)  HbF - increased, 10-98% in major, variable in minor  HbA2 - increased  HbA - absent in major, decreased to 80-90% in minor (composed of 2x alpha and 2x beta chains)   Splenomegaly? YES (may be as large as liver) Radiology - frontal bossing / crew cut appearance (as in sickle cell disease, due to erythroid hyperplasia)	β-Thalassemia Major:    Blood smear:  Hypochromia, microcytosis, and anisopoikilocytosis Abnormal cells - target cells Visualization of ribosomes - basophilic stippling Reticulocytes - increased (but less than expected)  HbF - increased, 10-98% in major, variable in minor  HbA2 - increased  HbA - absent in major, decreased to 80-90% in minor (composed of 2x alpha and 2x beta chains)   Splenomegaly? YES (may be as large as liver) Radiology - frontal bossing / crew cut appearance (as in sickle cell disease, due to erythroid hyperplasia)
β-Thalassemia Major:    Blood smear:  Hypochromia, microcytosis, and anisopoikilocytosis Abnormal cells - target cells Visualization of ribosomes - basophilic stippling Reticulocytes - [...] HbF - [...] HbA2 - [...]  HbA - [...] (composed of 2x alpha and 2x beta chains)   Splenomegaly? YES (may be as large as liver) Radiology - frontal bossing / crew cut appearance (as in sickle cell disease, due to erythroid hyperplasia)	β-Thalassemia Major:    Blood smear:  Hypochromia, microcytosis, and anisopoikilocytosis Abnormal cells - target cells Visualization of ribosomes - basophilic stippling Reticulocytes - increased (but less than expected)  HbF - increased, 10-98% in major, variable in minor  HbA2 - increased  HbA - absent in major, decreased to 80-90% in minor (composed of 2x alpha and 2x beta chains)   Splenomegaly? YES (may be as large as liver) Radiology - frontal bossing / crew cut appearance (as in sickle cell disease, due to erythroid hyperplasia)
β-Thalassemia Major:    Blood smear:  Hypochromia, microcytosis, and anisopoikilocytosis Abnormal cells - target cells Visualization of ribosomes - basophilic stippling Reticulocytes - increased (but less than expected)  HbF - increased, 10-98% in major, variable in minor  HbA2 - increased  HbA - absent in major, decreased to 80-90% in minor (composed of 2x alpha and 2x beta chains)   Splenomegaly? [...] Radiology - [...]	β-Thalassemia Major:    Blood smear:  Hypochromia, microcytosis, and anisopoikilocytosis Abnormal cells - target cells Visualization of ribosomes - basophilic stippling Reticulocytes - increased (but less than expected)  HbF - increased, 10-98% in major, variable in minor  HbA2 - increased  HbA - absent in major, decreased to 80-90% in minor (composed of 2x alpha and 2x beta chains)   Splenomegaly? YES (may be as large as liver) Radiology - frontal bossing / crew cut appearance (as in sickle cell disease, due to erythroid hyperplasia)
