#separator:tab
#html:false
Abciximab	CD41 (integrin alpha IIb), Glycoprotein IIb/IIIa inhibitor Platelet aggregation inhibitor
Golimumab	TNF-alpha inhibitor RA, psoriasis, ankylosing spondylitis and ulcerative colitis
Ibritumomab tiuxetan	CD20 Non-hodgkins lymphoma Radioimmunotherapeutic agent The drug uses the monoclonal mouse IgG1 antibody ibritumomab in conjunction with the chelator tiuxetan, to which a radioactive isotope (either yttrium-90 or indium-111) is added.
Infliximab	TNF-alpha Rheumatoid arthritis, ankylosing spondylitis, psoriatic arthritis, psoriasis, Crohn's disease, ulcerative colitis Has been demonstrated that it can induce ANA, especially anti-dsDNA antibodies, but does not cause SLE
Ipilimumab	Blocks CTLA-4 Late-stage melanoma
Mepolizumab	Binds to the alpha chain of the IL-5 receptor complex on eospinophils Eosinophilic asthma and eosinophil-mediated disease such as Churg-Strauss.  Mepolizumab prevents IL-5 from binding to the alpha chain of the IL-5 receptor complex that is expressed on the eosinophil cell, which inhibits IL-5 signalling, inhibiting signalling and overexpression of eosinophils in the peripheral blood and tissues. The Mepolizumab trial, presented in NEJM in July 2015 included patients with asthma and evidence of eosinophilic inflammation despite glucocorticoid therapy, demonstrated The rate of exacerbations was reduced by 47% (95% confidence interval [CI], 28 to 60) among patients receiving intravenous mepolizumab and by 53% (95% CI, 36 to 65) among those receiving subcutaneous mepolizumab, as compared with those receiving placebo (P<0.001 for both comparisons).  A mean increase from baseline in FEV1 was 100 ml greater in patients receiving intravenous/subcut mepolizumab than in those receiving placebo (P=0.02).
Muromonab	CD3 prevention of organ transplant rejection
Natalizumab	Integrin alpha-4 Multiple Sclerosis  Natalizumab, a humanised mouse monoclonal antibody, acts by binding to integrins present on the surface of leucocytes. This interaction stops the leucocytes from migrating into the central nervous system. Natalizumab may also suppress ongoing inflammation by preventing leucocytes from binding to ligands within the extracellular matrix.   Following the repeat intravenous administration of a 300 mg dose of natalizumab every four weeks, the serum concentration reaches a steady state after 24 weeks. The mean half-life of the drug is 11 days but clearance increases with body weight. After discontinuation, natalizumab stays in the blood for about 12 weeks, therefore a washout period may be appropriate before starting other treatments.   A phase III trial enrolled only patients with relapsing-remitting disease who had had a documented relapse in the previous 12 months. They received either a 300 mg dose of natalizumab or placebo every four weeks for up to 116 weeks. Of the 627 patients randomised to receive natalizumab, 72% remained relapse-free after two years compared with 46% of 315 patients randomised to the placebo group.    Increases the risk of progressive multi focal leukoencephalopathy.
Nimotuzumab	EGFR head and neck cancer, nasopharyngeal cancer, glioma It was developed at the Center of molecular immunology (CIM) in Havana, Cuba
Omalizumab	Binds to free human IgE Allergy-related asthma Omalizumab is a recombinant DNA-derived humanized IgG1k monoclonal antibody that specifically binds to free human immunoglobulin E (IgE) in the blood and interstitial fluid and to membrane-bound form of IgE (mIgE) on the surface of mIgE-expressing B lymphocytes. Unlike an ordinary anti-IgE antibody, it does not bind to IgE that is already bound by the high affinity IgE receptor (FcεRI) on the surface of mast cells, basophils, and antigen-presenting dendritic cells.
Ofatumumab	CD20 Chronic Lymphatic Leukemia
Obintuzumab	CD20 Chronic Lymphatic Leukemia
Panitumumab	EGFR   Registered for the treatment of refractory EGFR-expressing metastatic colorectal cancer in patients with non-mutated (wild-type) KRAS. Panitumumab was the first monoclonal antibody to demonstrate the use of KRAS as a predictive biomarker.
Pertuzumab	HER2/neu breast cancer
Ranibizumab	VEGF-A wet macular degeneration
Rituximab	CD20 Leukemia, lymphoma, various autoimmune disorders
Trastuzumab	HER2/neu HER2(+) breast cancer
Ustekinumab	IL-12, IL23 Multiple Sclerosis, psoriasis & psoriatic arthritis Ustekinumab is designed to interfere with the triggering of the body's inflammatory response through the suppression of certain cytokines. Specifically, Ustekinumab blocks interleukin IL-12 and IL-23 which help activate certain T-cells. It binds to the p-40 subunit of both IL-12 and IL-23 so that they subsequently cannot bind to their receptors.
EGFR Receptor Monoclonal Abs (6)	Cetuximab Panitumumab Erlotinib Genefitinib Afatinib Nimotuzumab EGFR blockage inhibits cell proliferation and division. KRAS mutations cause ineffective EGFR blockade.
Describe the Anti-CD20 monoclonal antibodies (6)	Rituximab (1st gen) Ofatumomab (2nd gen) Obintuzumab (2nd gen) Veltuzumab (2nd gen) Ocrelizumab (2nd gen) Ibritumomab tiuxetan - CD20 antibody with either yttrium-90 or indium-111 attached CD20 is expressed on 95% of B-cell lymphomas and normal B-cells, but not on precursor or stem cells.
Tocilizumab	IL-6 Receptor Rheumatoid Arthritis In 2011 the US Food and Drug Administration approved tocilizumab for the treatment of the orphan disease, active systematic Juvenile idiopathic arthritis (SJIA). Also used in castleman's disease and neuromyelitis optica.
Nilotinib	BCR-ABL Tyrosine kinase inhibitor (2nd gen) Chronic Myelogenous Leukemia Ph(+), (resistant to imatinib)
Dasatinib	BCR-ABL Tyrosine kinase inhibitor (2nd gen) Chronic Myelogenous Leukemia Ph(+)
Imatinib	BCR-ABL Tyrosine kinase inhibitor (1st gen) Chronic Myelogenous Leukemia Ph(+), GIST, relapsed or refractory Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ ALL)
Nintedanib	Intracellular inhibitor that targets multiple tyrosine kinases Idiopathic pulmonary fibrosis. Nintedanib reduced the decline in FVC by 125mls/year; frequently associated with diarrhea up to 60%, which led to discontinuation of the study medication in less than 5% of patients.
Which monoclonal Abs are contraindicated in heart failure?	Trastuzumab, infliximab (etanercept not so much)
Abatacept	CD80, CD86 Abatacept binds to the CD80 and CD86 molecule, and prevents the second signal. Without the second signal, the T cell can't be activated. Essentially, abatacept inhibits co-stimulation of T-cells. Abatacept (marketed as Orencia) is a fusion protein composed of the Fc region of the immunoglobulin IgG1 fused to the extracellular domain of CTLA-4.   In order for a T cell to be activated and produce an immune response, an antigen presenting cell must present two signals to the T cell. One of those signals is the major histocompatibility complex (MHC), combined with the antigen, and the other signal is the CD80 or CD86 molecule (also known as B7-1 and B7-2). Abatacept binds to the CD80 and CD86 molecule, and prevents the second signal.
Leflunomide	Pyrimidine synthesis inhibitor
Which HAART medication causes lipoatrophy (eg. facial wasting)	Protease inhibitors Nucleoside reverse transcriptase inhibitors especially stavudine and zidovudine
Which HAART medications cause peripheral neuropathy?	Didanosine and Zalcitabine
Which drug must you test for HLA-B*5701 before commencing the drug and why?	Abacavir, high incidence of hypersensitivity syndrome in these populations
Atacicept	TACI-Ig Used in SLE, but normal dose Atacicept did not improve outcomes above that of placebo. Blocks both BAFF and APRIL. Atacicept blocks activation of B cells by the tumor necrosis factor receptor superfamily member 13B (more commonly known as TACI), a transmembrane receptor protein found predominantly on the surface of B cells.  Binding of these TACI ligands induces proliferation, activation, and longevity of B cells and thus their production of autoantibodies. Atacicept is thought to selectively impair mature B cells and plasma cells with less impact on progenitor cells and memory B cells.  TNFRSF13B (TACI) is a transmembrane protein of the TNF receptor superfamily found predominantly on the surface of B cells, which are an important part of the immune system. TACI recognizes three ligands: APRIL, BAFF and CAML.
TNF-alpha inhibitors (5)	Infliximab Etanercept Adalimumab Golimumab Certolizumab
Initiation of TNF-alpha inhibitors (3)	1) Screen for Latent TB using CXR or interferon gamma release assay (quantiferon gold) 2) Screen for Hepatitis B/C (prevention of fulminant hepatitis) 3) Vaccinate for Hepatitis B, Varicella-zoster virus & 23-valent pneumococcal vaccine No requirement to screen for CMV/EBV, cancer (no increased risk), or heart failure (does not worsen heart failure)   Treatment of latent TB is 9 months of isoniazid
Mechanism of resistance to EGFR blockers	Stimulation of EGFR (surface receptor protein) causes cell proliferation and division via the KRAS signalling pathway. If KRAS is mutated (not wild-type), KRAS signals uncontrollably inducing cell proliferation and division, and therefore rendering EGFR blockade useless. Thus, EGFR inhibitors can only be effective when KRAS is wild-type.
Ruxolitinib	JAK-1 & JAK-2 inhibitor used in Myelofibrosis  Until recently, the therapeutic options for patients with myelofibrosis(MF) consisted of allogeneic hematopoietic stem cell transplant (alloHSCT), the use of cytoreductive agents (ie, hydroxyurea), splenectomy and splenic irradiation for treatment of splenomegaly, and management of anemia with transfusions, erythropoiesis-stimulating agents (ESAs), androgens, and immunomodulatory agents. However, with increased understanding of the pathogenesis of MF resulting from dysregulated Janus kinase (JAK) signaling, new targeted JAK inhibitor therapies, such as ruxolitinib, are now available.   The discovery of the JAK2 V617F mutation and an understanding of dysregulated JAK-STAT signaling in the pathogenesis of MF has led to the development of small-molecule JAK inhibitors. the COntrolled MyeloFibrosis Study With ORal JAK Inhibitor Treatment (COMFORT) trials, which were conducted in patients with primary, post-ET, or post-PV MF with intermediate-2- or high-risk disease as assessed by IPSS and platelet count >100 × 109/L. In COMFORT-I, patients (N = 309) were randomized 1:1 to ruxolitinib or placebo; in COMFORT-II, patients (N = 219) were randomized 2:1 to ruxolitinib or best available therapy (BAT). In both trials, patients received ruxolitinib 15 or 20 mg twice daily based on their baseline platelet count (100–200 or >200 × 109/L, respectively).   The primary endpoint of both trials was achieved with a proportion of patients in the ruxolitinib arms exhibiting a ≥35% reduction in spleen volume as measured by magnetic resonance imaging at 24 weeks in COMFORT-I (41.9% ruxolitinib versus [vs] 0.7% placebo; P < 0.0001) and at 48 weeks in COMFORT-II (28.5% ruxolitinib vs 0% BAT; P < 0.0001). The spleen responses in both studies were observed regardless of JAK2 V617F mutation status. Furthermore, spleen responses were durable, with 67.0% and 79.9% of responding patients in COMFORT-I and -II, respectively, maintaining their response for ≥48 weeks. With longer follow-up in both COMFORT-I and -II (median 102 and 112 weeks, respectively), the median duration of response to ruxolitinib had not been reached Responses to ruxolitinib are typically observed within the first 3–6 months after therapy initiation.
Antidepressant associated with priapism	Trazodone
Dabrafenib	BRAF inhibitor BRAF inhibitor and is approved for use in patients with melanoma whose tumors express the BRAF V600E gene mutation.
Trametinib	MEK1 & MEK2 Kinase Inhibitor  Kinase inhibitor which reversibly blocks MEK1 and MEK2 in melanoma cells with the BRAF mutationIt therefore acts at a different point in the pathway from the BRAF inhibitors – vemurafenib and dabrafenib.
Vemurafenib	BRAF inhibitor Vemurafenib offers another alternative for patients whose melanoma carries a specific mutation called BRAF V600-E. This is found in 40–60% of melanomas. The abnormal BRAF protein kinase stimulates cell proliferation and cell survival. Vemurafenib blocks BRAF and slows tumour growth. Between 18% and 26% of patients in the trials developed cutaneous squamous cell carcinoma or keratoacanthoma.
BRAF and BRAF-like inhibitors	Dabrafenib Vemurafenib Tramatenib (MEK1/MEK2) All used in melanoma
Anti-epileptics which cause weight loss (3)	Topiramate, zonisamide & felbamate Zonisamide is a sulphonamide
Azathioprine -- Glutathione --> 6-MP (active metabolite) -- TPMT --> [...]  Azathioprine -- Glutathione --> 6-MP (active metabolite) -- HPRT --> TIMP -- TPMT -->  [...] Azathioprine -- Glutathione --> 6-MP (active metabolite) -- HPRT --> TIMP -- IMPD/GMPS -->  [...] Azathioprine -- Glutathione --> 6-MP (active metabolite) -- Xanthine Oxidase --> [...]   Reduction in TPMT or the associated use of allopurinol is associated with shunting of the metabolic pathway towards TGPT metabolites causing bone marrow suppression.   Target enzyme of 6-MeMPN is amidophosphoribosyltransferase, which inhibits purine synthesis   1/300 are homozygous for TMPT mutation	Azathioprine -- Glutathione --> 6-MP (active metabolite) -- TPMT --> 6-MMP (inactive)  Azathioprine -- Glutathione --> 6-MP (active metabolite) -- HPRT --> TIMP -- TPMT -->  6-MeMPN (active metabolite - inhibition of de novo purine synthesis) Azathioprine -- Glutathione --> 6-MP (active metabolite) -- HPRT --> TIMP -- IMPD/GMPS -->  6-TGN/6-TG (active metabolite - incorporated into RNA, and can cause bone marrow suppression if TPMT is absent or reduced) Azathioprine -- Glutathione --> 6-MP (active metabolite) -- Xanthine Oxidase --> Thiouric acid   Reduction in TPMT or the associated use of allopurinol is associated with shunting of the metabolic pathway towards TGPT metabolites causing bone marrow suppression.   Target enzyme of 6-MeMPN is amidophosphoribosyltransferase, which inhibits purine synthesis   1/300 are homozygous for TMPT mutation  Thioguanosine triphosphate (TGTP) is incorporated into RNA, compromising its functionality. Reduction in TPMT or the associated use of allopurinol is associated with shunting of the metabolic pathway towards TGPT metabolites causing bone marrow suppression.
Azathioprine -- Glutathione --> 6-MP (active metabolite) -- TPMT --> 6-MMP (inactive)  Azathioprine -- Glutathione --> 6-MP (active metabolite) -- HPRT --> TIMP -- TPMT -->  6-MeMPN (active metabolite - inhibition of de novo purine synthesis) Azathioprine -- Glutathione --> 6-MP (active metabolite) -- HPRT --> TIMP -- IMPD/GMPS -->  6-TGN/6-TG (active metabolite - incorporated into RNA, and can cause bone marrow suppression if TPMT is absent or reduced) Azathioprine -- Glutathione --> 6-MP (active metabolite) -- Xanthine Oxidase --> Thiouric acid   Reduction in TPMT or the associated use of allopurinol is associated with shunting of the metabolic pathway towards TGPT metabolites causing bone marrow suppression.   Target enzyme of 6-MeMPN is [...], which inhibits purine synthesis   1/300 are [...] for TMPT mutation	Azathioprine -- Glutathione --> 6-MP (active metabolite) -- TPMT --> 6-MMP (inactive)  Azathioprine -- Glutathione --> 6-MP (active metabolite) -- HPRT --> TIMP -- TPMT -->  6-MeMPN (active metabolite - inhibition of de novo purine synthesis) Azathioprine -- Glutathione --> 6-MP (active metabolite) -- HPRT --> TIMP -- IMPD/GMPS -->  6-TGN/6-TG (active metabolite - incorporated into RNA, and can cause bone marrow suppression if TPMT is absent or reduced) Azathioprine -- Glutathione --> 6-MP (active metabolite) -- Xanthine Oxidase --> Thiouric acid   Reduction in TPMT or the associated use of allopurinol is associated with shunting of the metabolic pathway towards TGPT metabolites causing bone marrow suppression.   Target enzyme of 6-MeMPN is amidophosphoribosyltransferase, which inhibits purine synthesis   1/300 are homozygous for TMPT mutation  Thioguanosine triphosphate (TGTP) is incorporated into RNA, compromising its functionality. Reduction in TPMT or the associated use of allopurinol is associated with shunting of the metabolic pathway towards TGPT metabolites causing bone marrow suppression.
Azathioprine -- [...] --> [...] -- TPMT --> 6-MMP (inactive)  Azathioprine -- [...] --> [...] -- HPRT --> TIMP -- TPMT -->  6-MeMPN (active metabolite - inhibition of de novo purine synthesis) Azathioprine -- [...] --> [...] -- HPRT --> TIMP -- IMPD/GMPS -->  6-TGN/6-TG (active metabolite - incorporated into RNA, and can cause bone marrow suppression if TPMT is absent or reduced) Azathioprine -- [...] --> [...] -- Xanthine Oxidase --> Thiouric acid   Reduction in TPMT or the associated use of allopurinol is associated with shunting of the metabolic pathway towards TGPT metabolites causing bone marrow suppression.   Target enzyme of 6-MeMPN is amidophosphoribosyltransferase, which inhibits purine synthesis   1/300 are homozygous for TMPT mutation	Azathioprine -- Glutathione --> 6-MP (active metabolite) -- TPMT --> 6-MMP (inactive)  Azathioprine -- Glutathione --> 6-MP (active metabolite) -- HPRT --> TIMP -- TPMT -->  6-MeMPN (active metabolite - inhibition of de novo purine synthesis) Azathioprine -- Glutathione --> 6-MP (active metabolite) -- HPRT --> TIMP -- IMPD/GMPS -->  6-TGN/6-TG (active metabolite - incorporated into RNA, and can cause bone marrow suppression if TPMT is absent or reduced) Azathioprine -- Glutathione --> 6-MP (active metabolite) -- Xanthine Oxidase --> Thiouric acid   Reduction in TPMT or the associated use of allopurinol is associated with shunting of the metabolic pathway towards TGPT metabolites causing bone marrow suppression.   Target enzyme of 6-MeMPN is amidophosphoribosyltransferase, which inhibits purine synthesis   1/300 are homozygous for TMPT mutation  Thioguanosine triphosphate (TGTP) is incorporated into RNA, compromising its functionality. Reduction in TPMT or the associated use of allopurinol is associated with shunting of the metabolic pathway towards TGPT metabolites causing bone marrow suppression.
Azathioprine -- Glutathione --> 6-MP (active metabolite) -- TPMT --> 6-MMP (inactive)  Azathioprine -- Glutathione --> 6-MP (active metabolite) -- HPRT --> TIMP -- TPMT -->  6-MeMPN (active metabolite - inhibition of de novo purine synthesis) Azathioprine -- Glutathione --> 6-MP (active metabolite) -- HPRT --> TIMP -- IMPD/GMPS -->  6-TGN/6-TG (active metabolite - incorporated into RNA, and can cause bone marrow suppression if TPMT is absent or reduced) Azathioprine -- Glutathione --> 6-MP (active metabolite) -- Xanthine Oxidase --> Thiouric acid   Reduction in [...] is associated with shunting of the metabolic pathway towards TGPT metabolites causing bone marrow suppression.   Target enzyme of 6-MeMPN is amidophosphoribosyltransferase, which inhibits purine synthesis   1/300 are homozygous for TMPT mutation	Azathioprine -- Glutathione --> 6-MP (active metabolite) -- TPMT --> 6-MMP (inactive)  Azathioprine -- Glutathione --> 6-MP (active metabolite) -- HPRT --> TIMP -- TPMT -->  6-MeMPN (active metabolite - inhibition of de novo purine synthesis) Azathioprine -- Glutathione --> 6-MP (active metabolite) -- HPRT --> TIMP -- IMPD/GMPS -->  6-TGN/6-TG (active metabolite - incorporated into RNA, and can cause bone marrow suppression if TPMT is absent or reduced) Azathioprine -- Glutathione --> 6-MP (active metabolite) -- Xanthine Oxidase --> Thiouric acid   Reduction in TPMT or the associated use of allopurinol is associated with shunting of the metabolic pathway towards TGPT metabolites causing bone marrow suppression.   Target enzyme of 6-MeMPN is amidophosphoribosyltransferase, which inhibits purine synthesis   1/300 are homozygous for TMPT mutation  Thioguanosine triphosphate (TGTP) is incorporated into RNA, compromising its functionality. Reduction in TPMT or the associated use of allopurinol is associated with shunting of the metabolic pathway towards TGPT metabolites causing bone marrow suppression.
Azathioprine -- Glutathione --> 6-MP (active metabolite) -- TPMT --> 6-MMP (inactive)  Azathioprine -- Glutathione --> 6-MP (active metabolite) -- HPRT --> TIMP -- TPMT -->  6-MeMPN (active metabolite - inhibition of de novo purine synthesis) Azathioprine -- Glutathione --> 6-MP (active metabolite) -- HPRT --> TIMP -- IMPD/GMPS -->  6-TGN/6-TG (active metabolite - incorporated into RNA, and can cause bone marrow suppression if TPMT is absent or reduced) Azathioprine -- Glutathione --> 6-MP (active metabolite) -- Xanthine Oxidase --> Thiouric acid   Reduction in TPMT or the associated use of allopurinol is associated with shunting of the metabolic pathway towards [...] causing [...].   Target enzyme of 6-MeMPN is amidophosphoribosyltransferase, which inhibits purine synthesis   1/300 are homozygous for TMPT mutation	Azathioprine -- Glutathione --> 6-MP (active metabolite) -- TPMT --> 6-MMP (inactive)  Azathioprine -- Glutathione --> 6-MP (active metabolite) -- HPRT --> TIMP -- TPMT -->  6-MeMPN (active metabolite - inhibition of de novo purine synthesis) Azathioprine -- Glutathione --> 6-MP (active metabolite) -- HPRT --> TIMP -- IMPD/GMPS -->  6-TGN/6-TG (active metabolite - incorporated into RNA, and can cause bone marrow suppression if TPMT is absent or reduced) Azathioprine -- Glutathione --> 6-MP (active metabolite) -- Xanthine Oxidase --> Thiouric acid   Reduction in TPMT or the associated use of allopurinol is associated with shunting of the metabolic pathway towards TGPT metabolites causing bone marrow suppression.   Target enzyme of 6-MeMPN is amidophosphoribosyltransferase, which inhibits purine synthesis   1/300 are homozygous for TMPT mutation  Thioguanosine triphosphate (TGTP) is incorporated into RNA, compromising its functionality. Reduction in TPMT or the associated use of allopurinol is associated with shunting of the metabolic pathway towards TGPT metabolites causing bone marrow suppression.
Azathioprine -- Glutathione --> 6-MP (active metabolite) -- TPMT --> 6-MMP (inactive)  Azathioprine -- Glutathione --> 6-MP (active metabolite) -- HPRT --> TIMP -- [...] -->  6-MeMPN (active metabolite - inhibition of de novo purine synthesis) Azathioprine -- Glutathione --> 6-MP (active metabolite) -- HPRT --> TIMP -- [...] -->  6-TGN/6-TG (active metabolite - incorporated into RNA, and can cause bone marrow suppression if TPMT is absent or reduced) Azathioprine -- Glutathione --> 6-MP (active metabolite) -- Xanthine Oxidase --> Thiouric acid   Reduction in TPMT or the associated use of allopurinol is associated with shunting of the metabolic pathway towards TGPT metabolites causing bone marrow suppression.   Target enzyme of 6-MeMPN is amidophosphoribosyltransferase, which inhibits purine synthesis   1/300 are homozygous for TMPT mutation	Azathioprine -- Glutathione --> 6-MP (active metabolite) -- TPMT --> 6-MMP (inactive)  Azathioprine -- Glutathione --> 6-MP (active metabolite) -- HPRT --> TIMP -- TPMT -->  6-MeMPN (active metabolite - inhibition of de novo purine synthesis) Azathioprine -- Glutathione --> 6-MP (active metabolite) -- HPRT --> TIMP -- IMPD/GMPS -->  6-TGN/6-TG (active metabolite - incorporated into RNA, and can cause bone marrow suppression if TPMT is absent or reduced) Azathioprine -- Glutathione --> 6-MP (active metabolite) -- Xanthine Oxidase --> Thiouric acid   Reduction in TPMT or the associated use of allopurinol is associated with shunting of the metabolic pathway towards TGPT metabolites causing bone marrow suppression.   Target enzyme of 6-MeMPN is amidophosphoribosyltransferase, which inhibits purine synthesis   1/300 are homozygous for TMPT mutation  Thioguanosine triphosphate (TGTP) is incorporated into RNA, compromising its functionality. Reduction in TPMT or the associated use of allopurinol is associated with shunting of the metabolic pathway towards TGPT metabolites causing bone marrow suppression.
Idacurizumab	Reversal of dabigatrin
Reversal of dabigatrin	Idacurizumab
Idacurizumab	Reversal of Dabigatrin
Reversal of Dabigatrin	Idacurizumab
Idarucizumab	Reversal agent for Dabigatran (within minutes)
Reversal agent for Dabigatran (within minutes)	Idarucizumab
Canakinumab	IL-1 (Arthritis)
IL-1 (Arthritis)	Canakinumab
incatibant	bradykinin b2 antagonist, hereditary angioedema
bradykinin b2 antagonist, hereditary angioedema	incatibant
Fingolimod	Sphingosine-1-phosphate receptor modulator, which sequesters lymphocytes in lymph nodes, preventing them from contributing to an autoimmune reaction. (Can cause lymphopenia due to sequestering)
Sphingosine-1-phosphate receptor modulator, which sequesters lymphocytes in lymph nodes, preventing them from contributing to an autoimmune reaction. (Can cause lymphopenia due to sequestering)	Fingolimod
Glaterimer Acetate	Medication that mimics myelin peptides thus functions as a decoy for the immune system.  It is a random polymer of four amino acids found in myelin basic protein, namely glutamic acid, lysine, alanine, and tyrosine, and may work as a decoy for the immune system.
Medication that mimics myelin peptides thus functions as a decoy for the immune system.  It is a random polymer of four amino acids found in myelin basic protein, namely glutamic acid, lysine, alanine, and tyrosine, and may work as a decoy for the immune system.	Glaterimer Acetate
CADASIL	Notch-3 Mutation
Notch-3 Mutation	CADASIL
Mitotane	Adrenocortical Carcinoma - adrenal cortical suppressive and antineoplastic agent
Adrenocortical Carcinoma - adrenal cortical suppressive and antineoplastic agent	Mitotane
When is alemtuzumab indicated in CLL	In CLL with P53 mutations
Vedolizumab	Monoclonal Ab to integrin α₄β₇, used in Ulcerative colitis & Crohn's disease It reduces inflammation by inhibiting the adhesion of T lymphocytes to gastrointestinal tissues.
Monoclonal Ab to integrin α₄β₇, used in Ulcerative colitis & Crohn's disease It reduces inflammation by inhibiting the adhesion of T lymphocytes to gastrointestinal tissues.	Vedolizumab
FK506-binding protein 12	Sirolimus and Tacrolimus engage with this protein to inhibit the target of rapamycin
Sirolimus and Tacrolimus engage with this protein to inhibit the target of rapamycin	FK506-binding protein 12
Caspofungin	non-competitively inhibits the synthesis of fungal cell wall beta(1-3)-D-Glucan
non-competitively inhibits the synthesis of fungal cell wall beta(1-3)-D-Glucan	Caspofungin
Amphotericin B	This drug forms artificial pores by binding to ergosterol in fungal membranes, thereby disrupting membrane permeability
This drug forms artificial pores by binding to ergosterol in fungal membranes, thereby disrupting membrane permeability	Amphotericin B
Griseofulvin	Only active against dermatophytes by depositing newly formed keratin and disrupting microtubule structure
